COUNTRY,YEAR,GENDER,LIFEXP,UNEMPR,INFMOR,GDP,GNI,CLTECH,PERCAP,RTIMOR,TUBINC,DPTIMM,HEPIMM,MEAIMM,HOSBED,SANSER,TUBTRT,URBPOP,RURPOP,NCOMOR,SUIRAT
Afghanistan,2019,Female,66.388,14.06499958,42.9,18799450743,19098305631,36,494.1793499,15.9,189,66,66,64,0.432222222,49.00616952,91,25.754,74.246,36.2,3.6
Albania,2019,Female,80.201,11.32199955,7.7,15400242875,15198661275,80.699997,5395.659532,11.7,16,99,99,95,3.052307692,99.18306692,88,61.229,38.771,6,2.7
Algeria,2019,Female,78.133,18.62999916,18.6,1.72E+11,1.68E+11,99.300003,3989.668276,20.9,61,91,91,80,1.8,86.13850411,86,73.189,26.811,12.8,1.8
Angola,2019,Female,64.039,7.835000038,44.5,89417190341,81900890781,49.599998,2809.626088,26.1,351,57,53,51,0.8,51.39362406,69,66.177,33.823,19.4,2.3
Antigua and Barbuda,2019,Female,78.104,8.256285193,5.1,1687533333,1581477852,100,17376.64968,0,0,95,99,93,2.580625,85.52290362,72.26666667,24.506,75.494,17.6,0.8
Argentina,2019,Female,79.995,10.69799995,7,4.52E+11,4.34E+11,99.800003,10056.63794,14.1,29,86,86,94,4.61,91.40773251,47,91.991,8.009,12.1,3.3
Armenia,2019,Female,78.516,19.29199982,9.1,13619291361,13798304657,98.099998,4604.646324,20,26,92,92,95,4.319375,93.85240532,82,63.219,36.781,13.4,1.3
Aruba,2019,Female,78.641,8.256285193,30.23476623,2517572144,2363285719,60.5930232,24895.8989,18.2292142,2.2,85.68526614,81.30778501,84.85472701,2.986345617,97.84046568,46.5,43.546,56.454,22.09954023,10.61922198
Australia,2019,Female,85,5.100999832,2.9,1.39E+12,1.35E+12,100,54875.28596,4.9,6.9,95,95,95,3.86375,99.99115238,86,86.124,13.876,6.8,6.4
Austria,2019,Female,84.2,4.350999832,2.7,4.45E+11,4.43E+11,100,50114.40111,4.9,6,85,85,94,7.650526316,99.97271057,74,58.515,41.485,7.9,6.7
Azerbaijan,2019,Female,75.455,5.711999893,16.3,48174235294,46318529412,96.699997,4805.753718,6.7,60,94,94,98,7.016,96.12903013,84,56.031,43.969,20.4,1.6
"Bahamas, The",2019,Female,76.081,10.03800011,13.7,13164400000,12542250000,100,33799.41769,7.7,15,86,86,85,3.123750006,94.93058233,75,83.132,16.868,16.6,1.3
Bahrain,2019,Female,78.423,3.931999922,5.7,38652579787,36391941489,100,23551.93009,5.2,12,99,99,99,2.302777778,100,17,89.394,10.606,15.4,2.4
Bangladesh,2019,Female,74.595,6.755000114,23.9,3.03E+11,3.16E+11,23,1855.740094,15.3,221,98,98,97,0.528571429,52.69870337,95,37.405,62.595,16.2,1.7
Barbados,2019,Female,80.482,7.267000198,10.7,5209000000,5030074650,100,18148.49785,8.2,0,90,90,92,6.571538462,98.09246231,99.36363636,31.158,68.842,14.6,0.3
Belarus,2019,Female,79.4,3.193000078,2.1,64409647194,62499323071,98.900002,6837.717826,7.6,29,98,97,98,11.384,97.88502524,89,79.044,20.956,13.6,7.7
Belgium,2019,Female,84,4.93900013,3,5.35E+11,5.40E+11,100,46591.49161,5.8,8.9,98,97,96,5.58,99.48615574,81,98.041,1.959,8.2,11.8
Belize,2019,Female,77.843,9.869000435,9.5,1982518541,1819068541,82.400002,5078.809944,22.6,27,98,98,96,1.21933333,88.19850332,66,45.866,54.134,14.3,1.7
Benin,2019,Female,63.324,1.717000008,52.2,14391686633,14248202201,4,1219.515506,26.8,55,76,76,71,0.5,16.51526543,89,47.861,52.139,21,3.8
Bermuda,2019,Female,85.79,8.256285193,30.23476623,7484113000,7587978000,60.5930232,117098.4463,18.2292142,3.7,85.68526614,81.30778501,84.85472701,2.986345617,99.90314002,50,100,0,22.09954023,10.61922198
Bhutan,2019,Female,72.176,3.335000038,21.6,2535657069,2306109176,79.099998,3322.863329,16.2,165,97,97,97,1.688,75.23785494,94,41.612,58.388,17.2,2.7
Bolivia,2019,Female,74.508,4.395999908,19.1,40895322844,40048420225,85.5,3552.068143,21.1,106,75,75,79,1.117692308,63.89830649,83,69.773,30.227,18.3,4.1
Bosnia and Herzegovina,2019,Female,79.857,18.73900032,4.6,20201323260,20189076809,46.299999,6119.762345,13.5,27,73,80,68,3.327333333,95.21053244,32,48.626,51.374,13.6,4.5
Botswana,2019,Female,72.386,23.52099991,33.2,16593720656,16533279409,52.799999,7203.064221,26.4,253,95,95,97,2.05,79.75168982,72,70.172,29.828,22.7,6.4
Brazil,2019,Female,79.555,14.13899994,11.7,1.88E+12,1.83E+12,95.900002,8897.552966,16,46,73,80,91,2.395294118,89.29879625,69,86.824,13.176,12.7,3
Brunei Darussalam,2019,Female,77.106,8.282999992,8.6,13469422959,13830513708,100,31085.96193,7.5,64,99,99,97,2.601333333,96.34904195,75,77.942,22.058,16.7,0.8
Bulgaria,2019,Female,78.5,3.868999958,4.9,68915416142,66968982828,81.47117647,9879.268533,9.2,21,92,85,93,6.755,86.02459214,82,75.347,24.653,16.4,4.4
Burkina Faso,2019,Female,62.294,4.640999794,49.1,16178162030,15326472488,10.2,796.1152068,31,47,91,91,88,0.65,21.34059658,81,29.98,70.02,22.1,3.7
Burundi,2019,Female,63.377,1.23300004,35.4,2631434363,2637727944,0.2,228.2135892,35.5,107,93,93,92,1.13,45.74527589,94,13.366,86.634,23.2,3.4
Cabo Verde,2019,Female,76.197,11.62100029,11.6,1981845741,1938894076,78,3603.775241,26.8,46,96,97,98,2.1,77.47483233,89,66.195,33.805,12.7,4.5
Cambodia,2019,Female,71.909,0.178000003,20,27089389787,25525556830,31.200001,1643.121389,19.6,287,92,92,84,0.662857143,65.60982804,96,23.805,76.195,18.8,2.8
Cameroon,2019,Female,60.561,4.164999962,44.6,39670977333,38827845867,21.9,1533.095688,30.2,179,67,67,60,1.4,44.21838866,86,56.968,43.032,22.3,4.4
